db1,db2,sim
conmednp,tcmdb_taiwan,18.95
conmednp,tcmid,10.65
conmednp,tipdb,11.93
conmednp,unpd,47.53
conmednp,zinc_np,20.33
drugbank_np,chebi_np,10.11
drugbank_np,foodb,11.94
drugbank_np,gnps,10.83
drugbank_np,npass,12.03
drugbank_np,npedia,12.56
drugbank_np,supernatural2,17.55
drugbank_np,unpd,13.46
etm,analyticon_np,13.31
etm,chebi_np,43.90
etm,chemspider_np,12.76
etm,cmaup,50.36
etm,drugbank_np,16.10
etm,foodb,58.94
etm,gnps,16.55
etm,knapsack,17.44
etm,nanpdb,19.22
etm,npass,48.41
etm,npedia,16.16
etm,nubbe,12.87
etm,nubbedb,12.87
etm,pubchem_np,11.87
etm,respect,11.81
etm,supernatural2,72.98
etm,tcmdb_taiwan,57.16
etm,tcmid,35.21
etm,tipdb,35.93
etm,tppt,11.42
etm,unpd,75.65
etm,zinc_np,35.15
foodb,chebi_np,20.70
foodb,cmaup,16.13
foodb,npass,16.13
foodb,supernatural2,57.38
foodb,tcmdb_taiwan,17.13
foodb,unpd,45.67
gnps,analyticon_np,26.87
gnps,chebi_np,15.84
gnps,cmaup,15.37
gnps,drugbank_np,12.72
gnps,foodb,18.49
gnps,ibs_np,11.13
gnps,npass,22.00
gnps,npedia,14.62
gnps,pubchem_np,13.30
gnps,supernatural2,47.47
gnps,tcmdb_taiwan,16.31
gnps,unpd,37.75
gnps,zinc_np,29.83
him,analyticon_np,12.61
him,chebi_np,26.96
him,chemspider_np,12.21
him,cmaup,29.82
him,etm,11.10
him,foodb,28.55
him,gnps,15.70
him,hit,11.42
him,npact,10.15
him,npass,34.34
him,npcare,11.02
him,npedia,12.45
him,phenolexplorer,10.71
him,pubchem_np,11.42
him,supernatural2,42.82
him,tcmdb_taiwan,32.20
him,tcmid,19.59
him,tipdb,17.76
him,tppt,10.71
him,unpd,46.07
him,zinc_np,46.15
hit,analyticon_np,28.44
hit,bitterdb,12.21
hit,chebi_np,67.37
hit,chemspider_np,18.70
hit,cmaup,67.37
hit,conmednp,13.36
hit,drugbank_np,30.53
hit,etm,33.78
hit,foodb,61.64
hit,gnps,37.60
hit,him,27.48
hit,ibs_np,20.80
hit,inflamnat,16.03
hit,inpacdb,10.50
hit,knapsack,21.37
hit,mitishamba,10.69
hit,nanpdb,25.57
hit,npact,26.53
hit,npass,79.39
hit,npcare,29.39
hit,npedia,32.82
hit,nubbe,19.08
hit,nubbedb,19.08
hit,phenolexplorer,15.08
hit,pubchem_np,29.20
hit,respect,16.79
hit,supernatural2,81.68
hit,tcmdb_taiwan,80.73
hit,tcmid,49.24
hit,tipdb,46.56
hit,tppt,23.85
hit,unpd,83.97
hit,zinc_np,57.63
ibs_np,supernatural2,39.64
indofinechemical_np,analyticon_np,28.57
indofinechemical_np,bitterdb,10.71
indofinechemical_np,chebi_np,57.14
indofinechemical_np,chemspider_np,14.29
indofinechemical_np,cmaup,53.57
indofinechemical_np,conmednp,14.29
indofinechemical_np,drugbank_np,33.93
indofinechemical_np,etm,26.79
indofinechemical_np,foodb,41.07
indofinechemical_np,gnps,46.43
indofinechemical_np,him,35.71
indofinechemical_np,hit,32.14
indofinechemical_np,ibs_np,21.43
indofinechemical_np,inflamnat,30.36
indofinechemical_np,inpacdb,14.29
indofinechemical_np,knapsack,10.71
indofinechemical_np,mitishamba,12.50
indofinechemical_np,nanpdb,14.29
indofinechemical_np,npact,26.79
indofinechemical_np,npass,58.93
indofinechemical_np,npcare,25.00
indofinechemical_np,npedia,44.64
indofinechemical_np,nubbe,17.86
indofinechemical_np,nubbedb,17.86
indofinechemical_np,p-anapl,10.71
indofinechemical_np,pubchem_np,32.14
indofinechemical_np,specsnp,16.07
indofinechemical_np,supernatural2,55.36
indofinechemical_np,tcmdb_taiwan,60.71
indofinechemical_np,tcmid,44.64
indofinechemical_np,tipdb,35.71
indofinechemical_np,tppt,12.50
indofinechemical_np,unpd,60.71
indofinechemical_np,zinc_np,57.14
inflamnat,analyticon_np,23.01
inflamnat,chebi_np,35.14
inflamnat,cmaup,41.49
inflamnat,etm,14.13
inflamnat,foodb,31.88
inflamnat,gnps,20.47
inflamnat,him,10.87
inflamnat,hit,15.22
inflamnat,knapsack,15.76
inflamnat,nanpdb,15.04
inflamnat,npact,17.75
inflamnat,npass,55.25
inflamnat,npcare,20.11
inflamnat,npedia,16.49
inflamnat,nubbe,11.78
inflamnat,nubbedb,11.78
inflamnat,pubchem_np,13.41
inflamnat,supernatural2,67.21
inflamnat,tcmdb_taiwan,46.56
inflamnat,tcmid,27.36
inflamnat,tipdb,27.36
inflamnat,tppt,11.78
inflamnat,unpd,71.92
inflamnat,zinc_np,41.67
inpacdb,afrodb,15.32
inpacdb,analyticon_np,32.26
inpacdb,bitterdb,16.94
inpacdb,chebi_np,70.97
inpacdb,chembl_np,12.10
inpacdb,chemspider_np,31.45
inpacdb,cmaup,75.00
inpacdb,conmednp,23.39
inpacdb,drugbank_np,34.68
inpacdb,etm,39.52
inpacdb,foodb,65.32
inpacdb,gnps,38.71
inpacdb,him,31.45
inpacdb,hit,44.35
inpacdb,ibs_np,24.19
inpacdb,inflamnat,25.81
inpacdb,knapsack,22.58
inpacdb,mitishamba,19.35
inpacdb,nanpdb,37.90
inpacdb,npact,52.42
inpacdb,npass,77.42
inpacdb,npcare,42.74
inpacdb,npedia,42.74
inpacdb,nubbe,28.23
inpacdb,nubbedb,28.23
inpacdb,p-anapl,21.77
inpacdb,phenolexplorer,25.00
inpacdb,pubchem_np,32.26
inpacdb,respect,20.97
inpacdb,specsnp,13.71
inpacdb,supernatural2,81.45
inpacdb,tcmdb_taiwan,79.84
inpacdb,tcmid,52.42
inpacdb,tipdb,50.00
inpacdb,tppt,32.26
inpacdb,unpd,84.68
inpacdb,zinc_np,61.29
knapsack,chebi_np,13.82
knapsack,cmaup,17.21
knapsack,foodb,14.30
knapsack,npass,22.03
knapsack,supernatural2,65.90
knapsack,tcmdb_taiwan,21.04
knapsack,tcmid,10.72
knapsack,tipdb,14.46
knapsack,unpd,73.14
knapsack,zinc_np,19.10
mitishamba,chebi_np,20.60
mitishamba,cmaup,26.77
mitishamba,conmednp,11.25
mitishamba,etm,11.89
mitishamba,foodb,20.42
mitishamba,knapsack,10.80
mitishamba,nanpdb,13.88
mitishamba,npass,31.22
mitishamba,nubbe,11.16
mitishamba,nubbedb,11.16
mitishamba,supernatural2,54.54
mitishamba,tcmdb_taiwan,31.58
mitishamba,tcmid,19.24
mitishamba,tipdb,21.69
mitishamba,unpd,59.44
mitishamba,zinc_np,27.86
nanpdb,chebi_np,10.99
nanpdb,cmaup,16.10
nanpdb,foodb,12.31
nanpdb,npass,18.02
nanpdb,supernatural2,38.64
nanpdb,tcmdb_taiwan,17.15
nanpdb,tcmid,10.45
nanpdb,unpd,42.52
nanpdb,zinc_np,15.60
nci,analyticon_np,10.05
nci,chebi_np,38.52
nci,chemspider_np,15.07
nci,cmaup,32.30
nci,drugbank_np,18.18
nci,foodb,18.42
nci,gnps,20.57
nci,ibs_np,12.68
nci,knapsack,11.24
nci,npass,48.80
nci,npatlas,12.20
nci,npcare,10.77
nci,npedia,40.67
nci,pubchem_np,27.99
nci,streptomedb,12.20
nci,supernatural2,68.90
nci,tcmdb_taiwan,35.89
nci,tcmid,17.70
nci,tipdb,17.70
nci,tppt,13.64
nci,unpd,74.64
nci,zinc_np,32.30
npact,analyticon_np,13.54
npact,chebi_np,30.90
npact,cmaup,40.75
npact,etm,11.32
npact,foodb,26.89
npact,gnps,13.99
npact,knapsack,14.30
npact,nanpdb,12.84
npact,npass,59.25
npact,npcare,17.61
npact,npedia,13.03
npact,nubbe,10.93
npact,nubbedb,10.93
npact,supernatural2,71.65
npact,tcmdb_taiwan,49.52
npact,tcmid,28.99
npact,tipdb,24.92
npact,tppt,10.49
npact,unpd,75.33
npact,zinc_np,78.70
npass,chebi_np,17.49
npass,cmaup,26.05
npass,foodb,12.66
npass,npatlas,10.19
npass,supernatural2,57.30
npass,tcmdb_taiwan,20.83
npass,tcmid,11.70
npass,unpd,68.70
npass,zinc_np,18.95
npatlas,npass,15.70
npatlas,npedia,13.19
npatlas,supernatural2,43.39
npatlas,unpd,58.43
npcare,analyticon_np,18.76
npcare,chebi_np,37.08
npcare,chemspider_np,11.61
npcare,cmaup,46.42
npcare,etm,11.82
npcare,foodb,30.15
npcare,gnps,19.71
npcare,him,10.15
npcare,hit,11.24
npcare,knapsack,14.89
npcare,nanpdb,14.45
